;Date;Code INSEE région;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);TCH Thermique (%);TCH Nucléaire (%);TCH Eolien (%);TCH Solaire (%);TCH Hydraulique (%);TCH Bioénergies (%);Année;Mois
0;2013-01-01;28752;1302915.5;87092.0;1935612.0;61331.0;2816.0;160274.0;-32933.5;17306.5;-174828.0;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
1;2013-01-02;28752;1547797.0;112587.0;2090658.5;33975.0;6306.5;210772.0;-17533.0;16826.5;-154583.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
2;2013-01-03;28752;1599382.0;142663.0;2078484.0;38613.5;5057.5;219455.5;-17229.5;17433.0;-133927.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
3;2013-01-04;28752;1565699.5;127504.5;2094681.0;24414.5;3401.5;207150.0;-24235.0;17990.0;-133999.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
4;2013-01-05;28752;1443411.0;87657.0;2075291.0;21996.0;3599.5;192602.0;-27680.0;18435.5;-177290.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
5;2013-01-06;28752;1404775.5;86433.0;2052228.5;15380.5;3728.5;162525.5;-28411.0;18319.0;-154211.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
6;2013-01-07;28752;1628559.0;194730.0;2103793.5;11171.0;3980.5;221078.5;-15889.0;17581.5;-156710.0;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
7;2013-01-08;28752;1715718.0;233033.5;2124548.0;9972.5;3523.5;243657.5;-15384.5;17732.5;-150127.0;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
8;2013-01-09;28752;1750458.5;198225.0;2154442.5;10942.0;3350.0;259378.5;-14005.5;17922.0;-128603.0;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
9;2013-01-10;28752;1718611.0;192827.0;2148452.0;28143.5;3347.0;225849.5;-17040.5;17788.0;-129611.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
10;2013-01-11;28752;1680792.0;193519.5;2151627.0;35310.5;6856.0;212767.5;-21629.5;18685.5;-165211.5;4847.039999999999;17786.88;5523.84;83.52;7200.0;15330.24;1159488;576
